itemId,itemName,category,genreName,typeId,typeName,colorId,colorName,colorLabel,description
IT_ARM_ME_01,実用的な硬度を持たせた鉄製の短剣,ARM,武具,ARM_01,短剣,ME,紫色,精神・鉄 (Mental/Metal),"実用的な硬度を持たせた鉄製の短剣。日常の雑務や護身用として十分に機能する。"
IT_ARM_EL_01,微かな薬液を染み込ませた短剣,ARM,武具,ARM_01,短剣,EL,青緑色,元素 (Elemental),"微かな薬液を染み込ませた短剣。傷口を清涼感で包み込み、出血を抑える実務的な作り。"
IT_ARM_SA_01,乾燥した砂の術理で表面を硬化させた短剣,ARM,武具,ARM_01,短剣,SA,金色,砂・聖 (Sacred/Sand),"乾燥した砂の術理で表面を硬化させた短剣。砂漠の過酷な環境下でも錆びることなく機能する。"
IT_ARM_AS_01,星明かりの導きを得た短剣,ARM,武具,ARM_01,短剣,AS,青色,星明かり (Astral),"星明かりの導きを得た短剣。暗がりでも刃先がぼやけず、夜間の護身用として扱いやすい。"
IT_ARM_LI_01,微かな脈動を感じる生命の短剣,ARM,武具,ARM_01,短剣,LI,赤色,生命 (Life),"微かな脈動を感じる生命の短剣。持ち手の疲労を和らげ、長時間の探索をサポートする。"
IT_ARM_ME_02,基本に忠実な変成術を施した鋼の直剣,ARM,武具,ARM_02,直剣,ME,紫色,精神・鉄 (Mental/Metal),"基本に忠実な変成術を施した鋼の直剣。騎士や衛兵が標準的に装備する信頼性の高い武器。"
IT_ARM_EL_02,清涼感のある薬液で鍛えられた直剣,ARM,武具,ARM_02,直剣,EL,青緑色,元素 (Elemental),"清涼感のある薬液で鍛えられた直剣。斬撃と共に爽やかな芳香が漂い、戦場の熱気を鎮める。"
IT_ARM_SA_02,砂漠の風紋を模した加工が施された直剣,ARM,武具,ARM_02,直剣,SA,金色,砂・聖 (Sacred/Sand),"砂漠の風紋を模した加工が施された直剣。砂塵の中でも視認性が高く、安定した戦果を期待できる。"
IT_ARM_AS_02,方位を示す術理が組み込まれた直剣,ARM,武具,ARM_02,直剣,AS,青色,星明かり (Astral),"方位を示す術理が組み込まれた直剣。広大な砂漠での行軍において、道標のような安心感を与える。"
IT_ARM_LI_02,生きている木のようなしなやかさを持つ直剣,ARM,武具,ARM_02,直剣,LI,赤色,生命 (Life),"生きている木のようなしなやかさを持つ直剣。衝撃を吸収し、使用者の手首への負担を減らす。"
IT_ARM_ME_03,先端を硬質化した実戦用の小槍,ARM,武具,ARM_03,小槍,ME,紫色,精神・鉄 (Mental/Metal),"先端を硬質化した実戦用の小槍。リーチを活かした戦いで、安定した防御と攻撃を可能にする。"
IT_ARM_EL_03,薬液が穂先に滴る小槍,ARM,武具,ARM_03,小槍,EL,青緑色,元素 (Elemental),"薬液が穂先に滴る小槍。掠めただけでも術理が浸透し、標的の状態を不安定にさせる。"
IT_ARM_SA_03,砂の摩擦を利用して威力を高めた小槍,ARM,武具,ARM_03,小槍,SA,金色,砂・聖 (Sacred/Sand),"砂の摩擦を利用して威力を高めた小槍。表面のザラつきが滑り止めとなり、確実な一突を放てる。"
IT_ARM_AS_03,夜の旅路を照らす方位の術理を持つ小槍,ARM,武具,ARM_03,小槍,AS,青色,星明かり (Astral),"夜の旅路を照らす方位の術理を持つ小槍。暗い洞窟などの探索で、即席の灯りとして重宝する。"
IT_ARM_LI_03,植物の蔓のようにしなる丈夫な小槍,ARM,武具,ARM_03,小槍,LI,赤色,生命 (Life),"植物の蔓のようにしなる丈夫な小槍。生命の温もりがあり、長時間の保持でも疲れを感じにくい。"
IT_ARM_ME_04,金属板を補強した丸盾,ARM,武具,ARM_04,丸盾,ME,紫色,精神・鉄 (Mental/Metal),"金属板を補強した丸盾。標準的な防御性能を持ち、飛来する矢や小剣を確実に弾き返す。"
IT_ARM_EL_04,薬液を染み込ませた革を張った丸盾,ARM,武具,ARM_04,丸盾,EL,青緑色,元素 (Elemental),"薬液を染み込ませた革を張った丸盾。衝撃を吸収する際に、周囲に微かな癒やしの香りを放つ。"
IT_ARM_SA_04,圧縮した砂で作られた軽量な丸盾,ARM,武具,ARM_04,丸盾,SA,金色,砂・聖 (Sacred/Sand),"圧縮した砂で作られた軽量な丸盾。乾燥した表面は滑りがよく、鋭い斬撃を横へ逃がしやすい。"
IT_ARM_AS_04,星霊の紋章が描かれた丸盾,ARM,武具,ARM_04,丸盾,AS,青色,星明かり (Astral),"星霊の紋章が描かれた丸盾。夜間の守りを固めるために作られ、闇の中で微かな光を放っている。"
IT_ARM_LI_04,厚い樹皮を錬成して作られた丸盾,ARM,武具,ARM_04,丸盾,LI,赤色,生命 (Life),"厚い樹皮を錬成して作られた丸盾。生命の温もりが伝わり、精神的な不安を和らげる効果がある。"
IT_ARM_ME_05,金属の帯で補強された木製の魔導杖,ARM,武具,ARM_05,魔導杖,ME,紫色,精神・鉄 (Mental/Metal),"金属の帯で補強された木製の魔導杖。打撃武器としても頑丈で、魔法の触媒としても安定している。"
IT_ARM_EL_05,霊薬を吸わせたしなやかな魔導杖,ARM,武具,ARM_05,魔導杖,EL,青緑色,元素 (Elemental),"霊薬を吸わせたしなやかな魔導杖。先端から漂う清涼感が、術者の集中力を一定に保つのを助ける。"
IT_ARM_SA_05,砂漠の古木を砂の術理で保存した魔導杖,ARM,武具,ARM_05,魔導杖,SA,金色,砂・聖 (Sacred/Sand),"砂漠の古木を砂の術理で保存した魔導杖。乾燥に強く、湿気による魔力の暴発を防ぐ安定性を持つ。"
IT_ARM_AS_05,星霊の瞬きを宿した簡素な魔導杖,ARM,武具,ARM_05,魔導杖,AS,青色,星明かり (Astral),"星霊の瞬きを宿した簡素な魔導杖。暗い場所でも微かな光で周囲を照らし、術者の迷いを払う。"
IT_ARM_LI_05,常に若葉を芽吹かせる生命力に満ちた魔導杖,ARM,武具,ARM_05,魔導杖,LI,赤色,生命 (Life),"常に若葉を芽吹かせる生命力に満ちた魔導杖。手にするだけで疲労が和らぎ、穏やかな心をもたらす。"
IT_ADN_ME_01,金属の術理で強度を高めた鉄の指輪,ADN,装身具,ADN_01,指輪,ME,紫色,精神・鉄 (Mental/Metal),"金属の術理で強度を高めた鉄の指輪。変形に強く、日常的な作業中でも安心して身につけられる。"
IT_ADN_EL_01,微かな薬液が染み込んだ青緑の指輪,ADN,装身具,ADN_01,指輪,EL,青緑色,元素 (Elemental),"微かな薬液が染み込んだ青緑の指輪。肌に触れる冷たさが、長旅の疲れを僅かに癒やしてくれる。"
IT_ADN_SA_01,乾燥した砂粒を樹脂で固めた指輪,ADN,装身具,ADN_01,指輪,SA,金色,砂・聖 (Sacred/Sand),"乾燥した砂粒を樹脂で固めた指輪。琥珀のような質感があり、砂漠の過酷な熱から肌を守る。"
IT_ADN_AS_01,星明かりを模した装飾が施された指輪,ADN,装身具,ADN_01,指輪,AS,青色,星明かり (Astral),"星明かりを模した装飾が施された指輪。夜間の視認性を高め、暗い場所での作業効率を上げる。"
IT_ADN_LI_01,しなやかな蔦を錬成した生命の指輪,ADN,装身具,ADN_01,指輪,LI,赤色,生命 (Life),"しなやかな蔦を錬成した生命の指輪。脈動するような温もりがあり、着用者の活力を引き出す。"
IT_ADN_ME_02,金属の術理で耐久性を高めた耳飾り,ADN,装身具,ADN_02,耳飾り,ME,紫色,精神・鉄 (Mental/Metal),"金属の術理で耐久性を高めた耳飾り。激しい動きでも壊れにくく、旅人の装身具として適している。"
IT_ADN_EL_02,滴の形をした霊薬の耳飾り,ADN,装身具,ADN_02,耳飾り,EL,青緑色,元素 (Elemental),"滴の形をした霊薬の耳飾り。微かな清涼感を耳元に与え、暑い砂漠でも集中力を維持できる。"
IT_ADN_SA_02,砂粒を集めて固めた小ぶりな耳飾り,ADN,装身具,ADN_02,耳飾り,SA,金色,砂・聖 (Sacred/Sand),"砂粒を集めて固めた小ぶりな耳飾り。乾燥の術理により湿気を払い、清潔な状態を長く保てる。"
IT_ADN_AS_02,小さな青い石を配した星霊の耳飾り,ADN,装身具,ADN_02,耳飾り,AS,青色,星明かり (Astral),"小さな青い石を配した星霊の耳飾り。夜道で微かな光を放ち、足元の不安を僅かに解消する。"
IT_ADN_LI_02,脈動するような細工が施された耳飾り,ADN,装身具,ADN_02,耳飾り,LI,赤色,生命 (Life),"脈動するような細工が施された耳飾り。生命の術理が着用者の活力を呼び覚まし、眠気を払う。"
